Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Database Administrator,database administrator,Junior,2,Navigos Group,"Hồ Chí Minh, Hà nội",Negotiable,"MS SQL Server, Mysql, Python, Crm Databases, Ssrs",Vietnamworks
QA Supervisor ( Nghỉ Tất Cả Thứ 7 và Chủ Nhật ),QA engineer,Senior,5,Mektec Manufacturing Corporation (Vietnam) Ltd.,Hưng yên,$700.00-900.00,"QA, QC, SMT Production, 8D Problem Solving, English",Vietnamworks
Business Application Manager,data scientist,Intermediate,3,,N/A,Negotiable,"Application Development, Business Planning, Customer Service, ERP, Supplier Management",Vietnamworks
Nhân Viên Kỹ Thuật Công Nghệ Thông Tin,data scientist,Junior,1,Công ty Cổ phần Công Nghệ Thiên Vận,Hồ Chí Minh,Negotiable,"Bảo Trì Hệ Thống, Công Nghệ Thông Tin, Hỗ Trợ Kỹ Thuật, Xử Lý Sự Cố, Điện Nhẹ",Vietnamworks
"Software Engineer - Integration Build (Opensource System, C, C++, Python) (Quantity: 04)",software engineer,Any Level,N/A,LG Electronics R&D Vietnam,Hà Nội,Negotiable,"C++, Python, Integration Management, Shell scripts, Linux",Vietnamworks
Kỹ Sư Hệ Thống (Nam - Không Yêu Cầu Kinh Nghiệm),system administrator,Junior,1,Công Ty Cổ Phần Tư Vấn Chuyển Giao Công Nghệ ITC,Hà Nội,$408.16,"Công nghệ thông tin, Điện tử viễn thông, Hệ thống mạng máy tính, Cisco, VMware",Vietnamworks
"Thông Báo Tuyển Dụng Chuyên Gia Nghiên Cứu, Đo Kiểm",embedded systems engineer,Any Level,N/A,TRUNG TÂM ĐO LƯỜNG CHẤT LƯỢNG VIỄN THÔNG,Hà Nội,$612.24,"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Tin Học Văn Phòng, Nghiên Cứu Độc Lập, Giao Tiếp Tiếng Anh",Vietnamworks
MES Developer,software developer,Intermediate,3,VINFAST TRADING AND PRODUCTION JSC,Hà nội,Negotiable,"C#, HTML/CSS, JavaScript, Microsoft SQL Server, Problem Solving",Vietnamworks
Data Intelligence Analyst,data scientist,Junior,2,Red2 Digital,Hồ Chí Minh,Negotiable,"SQL, BigQuery, Looker Studio, English, Python",Vietnamworks
"Senior Associate, Product Suppot, SPX Express (preferred QC )",QA engineer,Senior,3,CÔNG TY TNHH SPX EXPRESS,N/A,Negotiable,"QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",Vietnamworks
Quality Assurance Engineer (Accept Fresher),QA engineer,Intern/Entry-level,N/A,HYUNDAI Kefico,Hải Dương,Negotiable,"QA, QC, IQC, Quality assuance, Engineering",Vietnamworks
QA Manager (Apparel),QA engineer,Lead/Expert,10,Navigos Search,"Hà nội, Hồ Chí Minh",$2000.00-3000.00,"Quality Assurance, Quality Control, Garment Construction, Manufacture Process, English Communication",Vietnamworks
IT Staff - Nhân Viên Công Nghệ Thông Tin,IT professional,Junior,2,Amata City Bien Hoa Joint Stock Company,Đồng Nai,Negotiable,"IT System Administration, IT Operations, IT Hardware, IT Helpdesk, Technical Support",Vietnamworks
Senior Backend Engineer (Hybrid Working),backend developer,Senior,5,,N/A,$2000.00-4000.00,"Database Development, Typescript, Node.js, Docker, English Communication",Vietnamworks
Process Quality Assurance (IT Software),QA engineer,Intermediate,4,Hitachi Digital Services,Hồ Chí Minh,Negotiable,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",Vietnamworks
Senior Embedded Software Engineer (C Language/autosar) [Joining Bonus],software engineer,Senior,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Embedded Software, Software Engineering, Electrical, Embedded C programming",Vietnamworks
Python Test Automation Engineer,software engineer,Any Level,N/A,LG Electronics Development Viet Nam Company Limited,Hà Nội,$1000.00-2200.00,"Python, Linux, JavaScript, QML, Embedded",Vietnamworks
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,IT professional,Any Level,N/A,Công Ty BIM Group Kiên Giang,N/A,$900.00-1200.00,"Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",Vietnamworks
03 Project Manager & Business Analyst,business analyst,Intermediate,3,Thư Viện Pháp Luật,Hồ Chí Minh,$1700.00-3000.00,"Lập Trình HTML, Quản Lý Điều Phối Dự Án, .NET, SQL Server, Business Analaysis",Vietnamworks
Project Coordinator,data scientist,Any Level,N/A,The Grand Ho Tram,Vũng Tàu,Negotiable,"Điều Phối Dự Án, Project Coordination, Project Management, English",Vietnamworks
Trưởng Bộ Phận Quản Lý Rủi Ro và Tuân Thủ CNTT,security engineer,Intermediate,3,Ngân Hàng TNHH Indovina – Hội Sở,Hồ Chí Minh,$1200.00-1400.00,"IT Governance, IT Security GRC, IT Security, Bảo mật thông tin, Quản Lý Rủi Ro",Vietnamworks
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,backend developer,Senior,N/A,Công Ty TNHH ZIGExN VeNtura,Hồ Chí Minh,Negotiable,"Python, Backend Development, Web Development, English Communication, Microservices",Vietnamworks
Kỹ Sư Helpdesk,IT support,Intermediate,3,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",Hà Nội,$612.24,"IT System Administration, IT Helpdesk, WAN, MCSA, Helpdesk Management",Vietnamworks
